district_name,season,crop_name,yield
Chandrapur,kharif,jowar,0.77
Chandrapur,rabi,jowar,0.48
Dhule,kharif,jowar,0.72
Dhule,rabi,jowar,1.92
Gadchiroli,kharif,jowar,0.53
Gadchiroli,rabi,jowar,0.67
Hingoli,kharif,jowar,0.71
Hingoli,rabi,jowar,1.2
Jalgaon,kharif,jowar,0.66
Jalgaon,rabi,jowar,1.65
Jalna,kharif,jowar,1.09
Jalna,rabi,jowar,0.92
Kolhapur,kharif,jowar,1.08
Kolhapur,rabi,jowar,1.63
Latur,kharif,jowar,0.79
Latur,rabi,jowar,0.95
Nagpur,kharif,jowar,0.4
Nagpur,rabi,jowar,0.57
Nanded,kharif,jowar,0.63
Nanded,rabi,jowar,1.39
Nandurbar,kharif,jowar,1.16
Nandurbar,rabi,jowar,1.15
Nashik,kharif,jowar,0.52
Nashik,rabi,jowar,0.63
Osmanabad,kharif,jowar,0.58
Osmanabad,rabi,jowar,0.92
Parbhani,kharif,jowar,0.65
Parbhani,rabi,jowar,1.03
Pune,kharif,jowar,0.81
Pune,rabi,jowar,0.71
Sangli,kharif,jowar,0.86
Sangli,rabi,jowar,0.98
Satara,kharif,jowar,0.7
Satara,rabi,jowar,0.8
Solapur,kharif,jowar,0.25
Solapur,rabi,jowar,0.68
Wardha,kharif,jowar,0.22
Wardha,rabi,jowar,0.56
Washim,kharif,jowar,0.36
Washim,rabi,jowar,0.79
Yavatmal,kharif,jowar,0.31
Yavatmal,rabi,jowar,0.79
Ahmednagar,kharif,maize,0.34
Ahmednagar,rabi,maize,2.94
Ahmednagar,summer,maize,2.7
Akola,kharif,maize,2.16
Akola,rabi,maize,1.25
Amravati,kharif,maize,2
Amravati,rabi,maize,0.78
Amravati,summer,maize,1.31
Aurangabad,kharif,maize,1.08
Aurangabad,rabi,maize,1.99
Aurangabad,summer,maize,1.2
Beed,kharif,maize,0.28
Beed,rabi,maize,0.97
Beed,summer,maize,2.25
Buldhana,kharif,maize,0.55
Buldhana,rabi,maize,1.35
Buldhana,summer,maize,1.59
Chandrapur,kharif,maize,1.71
Chandrapur,summer,maize,1
Dhule,kharif,maize,1.08
Dhule,rabi,maize,5.14
Dhule,summer,maize,1.37
Gadchiroli,kharif,maize,1.9
Gadchiroli,rabi,maize,1.49
Gadchiroli,summer,maize,1.39
Gondia,kharif,maize,0.4
Gondia,rabi,maize,0.79
Gondia,summer,maize,1.2
Hingoli,kharif,maize,0.43
Hingoli,rabi,maize,1.26
Hingoli,summer,maize,0.85
Jalgaon,kharif,maize,0.76
Jalgaon,rabi,maize,3.15
Jalgaon,summer,maize,3.6
Jalna,kharif,maize,3.37
Jalna,rabi,maize,3.84
Jalna,summer,maize,2.5
Kolhapur,kharif,maize,2.69
Kolhapur,rabi,maize,2.85
Kolhapur,summer,maize,2.43
Latur,kharif,maize,0.22
Latur,rabi,maize,1.3
Nagpur,kharif,maize,2.27
Nagpur,rabi,maize,1.75
Nagpur,summer,maize,1.14
Nanded,kharif,maize,0.59
Nanded,rabi,maize,1.8
Nanded,summer,maize,1.24
Nandurbar,kharif,maize,1.9
Nandurbar,rabi,maize,2.88
Nandurbar,summer,maize,1.63
Nashik,kharif,maize,1.54
Nashik,rabi,maize,2.89
Nashik,summer,maize,2.52
Osmanabad,kharif,maize,0.53
Osmanabad,rabi,maize,1.81
Osmanabad,summer,maize,0.95
Palghar,rabi,maize,3.5
Parbhani,kharif,maize,0.72
Parbhani,rabi,maize,1.26
Parbhani,summer,maize,1.21
Pune,kharif,maize,3.56
Pune,rabi,maize,4.2
Pune,summer,maize,2.5
Ratnagiri,rabi,maize,2.61
Sangli,kharif,maize,1.85
Sangli,rabi,maize,2.1
Sangli,summer,maize,2
Satara,kharif,maize,1.4
Satara,rabi,maize,3.41
Satara,summer,maize,1.85
Sindhudurg,rabi,maize,3.17
Solapur,kharif,maize,1.23
Solapur,rabi,maize,2.33
Solapur,summer,maize,2.6
Wardha,kharif,maize,1.62
Wardha,rabi,maize,1.05
Washim,kharif,maize,1.84
Washim,rabi,maize,0.34
Yavatmal,kharif,maize,0.15
Yavatmal,rabi,maize,0.94
Ahmednagar,kharif,moong,0.16
Akola,kharif,moong,0.4
Amravati,kharif,moong,0.15
Aurangabad,kharif,moong,0.51
Beed,kharif,moong,0.21
Bhandara,kharif,moong,0.2
Buldhana,kharif,moong,0.77
Chandrapur,kharif,moong,0.35
Dhule,kharif,moong,0.45
Gadchiroli,kharif,moong,0.2
Gondia,kharif,moong,0.38
Hingoli,kharif,moong,0.69
Jalgaon,kharif,moong,0.52
Jalna,kharif,moong,0.64
Kolhapur,kharif,moong,0.65
Latur,kharif,moong,0.45
Nagpur,kharif,moong,0.4
Nanded,kharif,moong,0.49
Nandurbar,kharif,moong,0.5
Nashik,kharif,moong,0.63
Osmanabad,kharif,moong,0.27
Parbhani,kharif,moong,0.4
Pune,kharif,moong,0.26
Sangli,kharif,moong,0.2
Satara,kharif,moong,0.36
Solapur,kharif,moong,0.35
Wardha,kharif,moong,0.39
Washim,kharif,moong,0.46
Yavatmal,kharif,moong,0.35
Ahmednagar,kharif,niger seed,0.15
Akola,kharif,niger seed,0.15
Aurangabad,kharif,niger seed,0
Beed,kharif,niger seed,0.07
Dhule,kharif,niger seed,0.15
Hingoli,kharif,niger seed,0.14
Jalna,kharif,niger seed,0.1
Kolhapur,kharif,niger seed,0.4
Latur,kharif,niger seed,0.27
Nanded,kharif,niger seed,0.13
Nashik,kharif,niger seed,0.15
Osmanabad,kharif,niger seed,0.14
Parbhani,kharif,niger seed,0.17
Pune,kharif,niger seed,0.14
Raigad,kharif,niger seed,0.25
Satara,kharif,niger seed,0.37
Solapur,kharif,niger seed,0.11
Washim,kharif,niger seed,0.17
Ahmednagar,rabi,other pulses,0.3
Amravati,rabi,other pulses,0.47
Aurangabad,rabi,other pulses,0.33
Beed,rabi,other pulses,0.5
Bhandara,rabi,other pulses,0.72
Buldhana,rabi,other pulses,0.3
Chandrapur,rabi,other pulses,0.58
Dhule,rabi,other pulses,0.5
Gadchiroli,rabi,other pulses,0.38
Gondia,rabi,other pulses,0.47
Hingoli,rabi,other pulses,0.35
Jalgaon,rabi,other pulses,0.77
Kolhapur,rabi,other pulses,0.42
Latur,rabi,other pulses,0.32
Nagpur,rabi,other pulses,0.54
Nanded,rabi,other pulses,0.33
Nandurbar,rabi,other pulses,0.38
Nashik,rabi,other pulses,0.33
Osmanabad,rabi,other pulses,0.36
Palghar,rabi,other pulses,0.75
Parbhani,rabi,other pulses,0.53
Pune,rabi,other pulses,0.28
Raigad,rabi,other pulses,0.35
Ratnagiri,rabi,other pulses,0.75
Sangli,rabi,other pulses,0.3
Satara,rabi,other pulses,0.54
Sindhudurg,rabi,other pulses,0.67
Solapur,rabi,other pulses,0.3
Thane,rabi,other pulses,0.73
Ahmednagar,kharif,other cereals,0.22
Aurangabad,kharif,other cereals,0.43
Beed,kharif,other cereals,0.3
Buldhana,kharif,other cereals,0.45
Chandrapur,kharif,other cereals,0.68
Dhule,kharif,other cereals,0.55
Hingoli,kharif,other cereals,0.37
Jalgaon,kharif,other cereals,0.47
Jalna,kharif,other cereals,0.09
Kolhapur,kharif,other cereals,0.5
Latur,kharif,other cereals,0.23
Nagpur,kharif,other cereals,0.4
Nanded,kharif,other cereals,3.33
Nandurbar,kharif,other cereals,0.89
Nashik,kharif,other cereals,0.48
Osmanabad,kharif,other cereals,0.28
Palghar,kharif,other cereals,0.54
Parbhani,kharif,other cereals,0.36
Pune,kharif,other cereals,0.85
Raigad,kharif,other cereals,0.43
Ratnagiri,kharif,other cereals,0.5
Sangli,kharif,other cereals,0.1
Satara,kharif,other cereals,0.45
Sindhudurg,kharif,other cereals,0.51
Solapur,kharif,other cereals,0.29
Thane,kharif,other cereals,0.52
Wardha,kharif,other cereals,0.33
Washim,kharif,other cereals,0.73
Ahmednagar,kharif,other pulses,0.12
Aurangabad,kharif,other pulses,0.21
Beed,kharif,other pulses,0.23
Bhandara,kharif,other pulses,0.5
Buldhana,kharif,other pulses,0.3
Chandrapur,kharif,other pulses,0.55
Dhule,kharif,other pulses,0.35
Gadchiroli,kharif,other pulses,0.29
Gondia,kharif,other pulses,0.47
Hingoli,kharif,other pulses,0.08
Jalgaon,kharif,other pulses,0.33
Jalna,kharif,other pulses,0.06
Kolhapur,kharif,other pulses,0.68
Latur,kharif,other pulses,0.18
Nagpur,kharif,other pulses,0.37
Nanded,kharif,other pulses,0.15
Nandurbar,kharif,other pulses,0.33
Nashik,kharif,other pulses,0.47
Osmanabad,kharif,other pulses,0.19
Palghar,kharif,other pulses,0.54
Parbhani,kharif,other pulses,0.14
Pune,kharif,other pulses,0.38
Ratnagiri,kharif,other pulses,0.5
Sangli,kharif,other pulses,0.21
Satara,kharif,other pulses,0.61
Sindhudurg,kharif,other pulses,0.45
Solapur,kharif,other pulses,0.24
Thane,kharif,other pulses,0.5
Washim,kharif,other pulses,0.45
Ahmednagar,kharif,other oilseeds,0.2
Aurangabad,kharif,other oilseeds,0.15
Beed,kharif,other oilseeds,0.2
Buldhana,kharif,other oilseeds,0.5
Dhule,kharif,other oilseeds,0.45
Hingoli,kharif,other oilseeds,0.16
Jalgaon,kharif,other oilseeds,0.2
Jalna,kharif,other oilseeds,0.14
Latur,kharif,other oilseeds,0.21
Nagpur,kharif,other oilseeds,0.33
Nanded,kharif,other oilseeds,0.2
Nandurbar,kharif,other oilseeds,0.26
Nashik,kharif,other oilseeds,0.46
Osmanabad,kharif,other oilseeds,0.21
Parbhani,kharif,other oilseeds,0.25
Pune,kharif,other oilseeds,0.22
Ratnagiri,kharif,other oilseeds,0.25
Sangli,kharif,other oilseeds,0.18
Satara,kharif,other oilseeds,0.33
Solapur,kharif,other oilseeds,0.25
Wardha,kharif,other oilseeds,0.29
Washim,kharif,other oilseeds,0.53
Ahmednagar,kharif,ragi,1.15
Aurangabad,kharif,ragi,1.04
Beed,kharif,ragi,1.05
Buldhana,kharif,ragi,1
Dhule,kharif,ragi,0.65
Kolhapur,kharif,ragi,1.67
Nandurbar,kharif,ragi,0.58
Nashik,kharif,ragi,0.64
